Hex,レジ番号,所属国,時刻,現在緯度,現在経度,出発予測緯度,出発予測経度,到着予測緯度,到着予測経度
e483ba,FAB2590,ブラジル,2026-07-29 23:18:05,-7.0561,-41.3649,-4.1178,-38.9191,-7.0561,-41.3649
c2c363,330002,カナダ,2026-07-29 23:19:09,46.2807,1.7393,50.0401,4.9762,46.2807,1.7393
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:19:09,41.0793,12.9455,41.0817,19.3211,41.0793,12.9455
354556,T.22-2,スペイン,2026-07-29 23:19:09,39.5517,2.396,40.1772,-3.1825,39.5517,2.396
e483ba,FAB2590,ブラジル,2026-07-29 23:19:09,-7.2811,-41.5141,-4.1178,-38.9191,-7.2811,-41.5141
c2c363,330002,カナダ,2026-07-29 23:20:12,46.136,1.6734,50.0401,4.9762,46.136,1.6734
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:20:12,41.0739,12.7305,41.0817,19.3211,41.0739,12.7305
341390,T.18-1,スペイン,2026-07-29 23:20:12,40.4899,-3.4542,40.4899,-3.4542,40.4899,-3.4542
354556,T.22-2,スペイン,2026-07-29 23:20:12,39.6016,2.5149,40.1772,-3.1825,39.6016,2.5149
e483ba,FAB2590,ブラジル,2026-07-29 23:20:12,-7.4535,-41.6285,-4.1178,-38.9191,-7.4535,-41.6285
c2c363,330002,カナダ,2026-07-29 23:21:14,46.0179,1.6199,50.0401,4.9762,46.0179,1.6199
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:21:14,41.0693,12.5592,41.0817,19.3211,41.0693,12.5592
341390,T.18-1,スペイン,2026-07-29 23:21:14,40.474,-3.4191,40.4899,-3.4542,40.474,-3.4191
354556,T.22-2,スペイン,2026-07-29 23:21:14,39.6404,2.6081,40.1772,-3.1825,39.6404,2.6081
e483ba,FAB2590,ブラジル,2026-07-29 23:21:14,-7.5511,-41.6934,-4.1178,-38.9191,-7.5511,-41.6934
c2c363,330002,カナダ,2026-07-29 23:22:17,45.8915,1.5628,50.0401,4.9762,45.8915,1.5628
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:22:17,41.0636,12.3715,41.0817,19.3211,41.0636,12.3715
341390,T.18-1,スペイン,2026-07-29 23:22:17,40.457,-3.3604,40.4899,-3.4542,40.457,-3.3604
